Threshold,Precision,Recall,F1,TP,FP,FN,TN
0.1,0.641,0.98,0.775,100,56,2,26
0.15,0.685,0.98,0.806,100,46,2,36
0.2,0.728,0.971,0.832,99,37,3,45
0.25,0.754,0.961,0.845,98,32,4,50
0.3,0.772,0.931,0.844,95,28,7,54
0.35,0.779,0.931,0.848,95,27,7,55
0.4,0.775,0.912,0.838,93,27,9,55
0.45,0.798,0.892,0.843,91,23,11,59
0.5,0.807,0.863,0.834,88,21,14,61
0.55,0.835,0.843,0.839,86,17,16,65
0.6,0.847,0.814,0.83,83,15,19,67
0.65,0.868,0.775,0.819,79,12,23,70
0.7,0.893,0.735,0.806,75,9,27,73
0.75,0.893,0.657,0.757,67,8,35,74
0.8,0.897,0.598,0.718,61,7,41,75
0.85,0.943,0.49,0.645,50,3,52,79
0.9,0.974,0.373,0.539,38,1,64,81
